date,datetime,cash_type,money,coffee_name
26-02-25,26-02-25 12:22,card,15,Tea
26-02-25,26-02-25 13:11,cash,33,Latte
26-02-25,26-02-25 14:53,card,33,Latte
26-02-25,26-02-25 16:45,card,27,Irish whiskey with milk
26-02-25,26-02-25 17:08,card,29,Coffee with Irish whiskey
26-02-25,26-02-25 17:13,card,25,Caramel with milk
26-02-25,26-02-25 20:49,card,28,Caramel with chocolate
27-02-25,27-02-25 11:37,cash,25,Americano with milk
27-02-25,27-02-25 17:04,cash,15,Tea
28-02-25,28-02-25 7:58,card,25,Americano with milk
28-02-25,28-02-25 12:02,cash,20,Espresso
28-02-25,28-02-25 14:40,cash,33,Latte
28-02-25,28-02-25 14:42,cash,33,Latte
28-02-25,28-02-25 15:39,cash,30,Cappuccino
28-02-25,28-02-25 15:42,cash,25,Americano with milk
28-02-25,28-02-25 19:54,card,28,Super chocolate
28-02-25,28-02-25 22:14,card,28,Double Irish whiskey
28-02-25,28-02-25 22:32,card,25,Americano with milk
01-03-25,01-03-25 11:37,cash,30,Cappuccino
01-03-25,01-03-25 11:43,cash,25,Americano with milk
01-03-25,01-03-25 12:48,cash,15,Tea
01-03-25,01-03-25 14:48,card,27,Chocolate with milk
01-03-25,01-03-25 16:35,card,27,Irish whiskey with milk
02-03-25,02-03-25 11:18,card,25,Americano with milk
02-03-25,02-03-25 11:20,card,30,Cappuccino
02-03-25,02-03-25 12:16,card,28,Caramel coffee
02-03-25,02-03-25 12:48,cash,28,Coffee with chocolate
02-03-25,02-03-25 12:48,cash,30,Cappuccino
02-03-25,02-03-25 14:54,cash,28,Super chocolate
02-03-25,02-03-25 16:09,card,25,Irish whiskey
02-03-25,02-03-25 20:12,card,27,Chocolate with milk
02-03-25,02-03-25 20:13,card,27,Irish whiskey with milk
02-03-25,02-03-25 20:16,card,33,Latte
02-03-25,02-03-25 20:30,cash,25,Caramel with milk
03-03-25,03-03-25 10:40,card,25,Americano with milk
03-03-25,03-03-25 11:08,card,25,Irish whiskey
03-03-25,03-03-25 11:14,card,25,Irish whiskey
03-03-25,03-03-25 11:24,card,27,Irish with chocolate
03-03-25,03-03-25 16:23,card,28,Caramel with Irish whiskey
03-03-25,03-03-25 21:58,card,25,Americano with milk
05-03-25,05-03-25 11:29,card,25,Irish whiskey
05-03-25,05-03-25 11:39,card,27,Vanilla coffee
05-03-25,05-03-25 12:34,cash,20,Espresso
05-03-25,05-03-25 13:12,cash,25,Americano
05-03-25,05-03-25 13:17,cash,27,Irish whiskey with milk
05-03-25,05-03-25 18:38,card,33,Latte
05-03-25,05-03-25 18:40,card,25,Americano with milk
05-03-25,05-03-25 18:44,card,25,Americano
07-03-25,07-03-25 12:36,card,27,Double ristretto
07-03-25,07-03-25 12:37,card,25,Americano with milk
07-03-25,07-03-25 14:19,card,27,Irish with chocolate
07-03-25,07-03-25 14:21,card,25,Irish whiskey
07-03-25,07-03-25 21:35,cash,27,Chocolate with milk
